"Title","Artists","WorkbookType","Genre","Mood","Confidence","InferenceBasis","Source","ExistsInSystem","Reasons"
"The Life of a Showgirl","Taylor Swift","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"The Life of a Showgirl + Acoustic Collection","Taylor Swift","Single","Contemporary / Mixed","varied, release-dependent","Low","Fallback from version/feature keywords","album-names.txt","True","low_confidence"
"The Life of a Showgirl (Track by Track Version)","Taylor Swift","Single","Contemporary / Mixed","varied, release-dependent","Low","Fallback from version/feature keywords","album-names.txt","True","low_confidence"
"#NAME?","","Album","Pop / Singer-Songwriter","heartfelt, melodic, warm","High","Family mapping: ed","album-names.txt","False","missing_album_record"
"5","Ed Sheeran","Album","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Maya Ma (2018 Compilation)","Sushant KC","Album","Nepali Indie / Pop","emotional, romantic, introspective","Low","Heuristic: Nepali-title keywords","album-names.txt","True","low_confidence"
"Kasari","Yabesh Thapa","Single","Nepali Indie / Pop","emotional, romantic, introspective","Low","Heuristic: Nepali-title keywords","album-names.txt","True","low_confidence"
"Rangamanch Ko Rang","Sabin Rai","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Ghar Gaun","AXIX","Single","Nepali Indie / Pop","emotional, romantic, introspective","Low","Heuristic: Nepali-title keywords","album-names.txt","True","low_confidence"
"Dientes","J Balvin, USHER, DJ Khaled","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Sparsha Sangeet","Purna Rai","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Roka Yo Samay","Tribal Rain","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"The Studio Album Collection 1991 - 2011","Red Hot Chili Peppers","Album","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Nothin'","Guns N' Roses","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Phool Oonko Sweater","Sujan Chapagain, ArtMandu","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Bhikhaari","Oasis Thapa","Single","Nepali Indie / Pop","emotional, romantic, introspective","Low","Heuristic: Nepali-title keywords","album-names.txt","True","low_confidence"
"Badal Sari","Swar, John Rai","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Sarangi","Sushant KC","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Jo Jas Sanga Sambandhit Chha","Albatross","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Kalo/Seto","Purna Rai","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Manaka kura","Samir Shrestha, bekcha","Single","Nepali Indie / Pop","emotional, romantic, introspective","Low","Heuristic: Nepali-title keywords","album-names.txt","True","low_confidence"
"We Global","DJ Khaled","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Nihita","John Rai","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Parkha Na","Sushant KC","Single","Nepali Indie / Pop","emotional, romantic, introspective","Low","Heuristic: Nepali-title keywords","album-names.txt","True","low_confidence"
"Vanana Matra","John Rai","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Sadhana","John Rai","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Black and White","AXIX","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Chainejo Jindaganima","Sujan Chapagain, Salina Bk, ArtMandu","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Loose Change","Ed Sheeran","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"K Garu","John Rai","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Laakhau Hajarau","Yabesh Thapa","Single","Nepali Indie / Pop","emotional, romantic, introspective","Low","Heuristic: Nepali-title keywords","album-names.txt","True","low_confidence"
"Borracho","Sech, DJ Khaled","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Maya Garnu La (Composer Version)","John Rai","Single","Nepali Indie / Pop","emotional, romantic, introspective","Low","Heuristic: Nepali-title keywords","album-names.txt","True","low_confidence"
"Si Ma Na","Bartika Eam Rai","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Ranga","Rockheads","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"F64","Ed Sheeran","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Alapatra","Yabesh Thapa","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Behuli","Sajjan Raj Vaidya","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Atti Bhayo","Albatross","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Jay Shamboo","Chirag Khadka","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Gala Pukka","Sujan Chapagain","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Mutu Dekhin (Raw)","John Rai","Single","Nepali Indie / Pop","emotional, romantic, introspective","Low","Heuristic: Nepali-title keywords","album-names.txt","True","low_confidence"
"Pahuna","Sushant KC","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Yo Mutu Mero","Yabesh Thapa","Single","Nepali Indie / Pop","emotional, romantic, introspective","Low","Heuristic: Nepali-title keywords","album-names.txt","True","low_confidence"
"Raat Ko Rani","Albatross","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Teenpatey","Sujan Chapagain, ArtMandu","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"9841","Sajjan Raj Vaidya","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Hyatteri","Sajjan Raj Vaidya","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Phutki Jaaney Jovan","Sajjan Raj Vaidya","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Atlas","Guns N' Roses","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Changa","Yabesh Thapa","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Kamana","Yabesh Thapa","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Gimme A Second 2","Rich The Kid, Kanye West","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"BIRAM","Purna Rai","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"We Set The Trends (Remix) [feat. ‎Migos & Juelz Santana]","Jim Jones, Lil Wayne, DJ Khaled","Single","Contemporary / Mixed","varied, release-dependent","Low","Fallback from version/feature keywords","album-names.txt","True","low_confidence"
