Mood,Album Count,Song Count,Albums,Songs
aggressiveenergetic,0,0,,
boss,0,0,,
catchy,0,0,,
classic,0,0,,
cold,0,0,,
confident,0,0,,
creative,0,0,,
dance,0,0,,
deep,0,0,,
Dreamy,0,0,,
empowering,0,0,,
experimental,0,0,,
expressive,0,0,,
flex,0,0,,
innovative,0,0,,
laid-back,0,0,,
luxury,0,0,,
lyrical,0,0,,
menacing,0,0,,
minimal,0,0,,
mooth,0,0,,
motivational,0,0,,
otivational,0,0,,
Party,0,0,,
positive,0,0,,
real,0,0,,
relatable,0,0,,
smooth,0,0,,
spacey,0,0,,
storytelling,0,0,,
strong,0,0,,
toxic,0,0,,
versatile,0,0,,
Vibey,0,0,,
vocal,0,0,,
witty,0,0,,
