Mood,Album Count,Song Count,Albums,Songs
abrasive,2,0,In Utero (Nirvana) | Yeezus (Kanye West),
aggressive,31,0,"BANDO BACHHA (Jamesy) | BHADKIYEKO AATMA (Jamesy) | Bleach (Nirvana) | CALL GARA (Jamesy) | DASHAIN DRILL (Jamesy) | Freestyle Preto (Dj Thales Jql) | GOAT THINGS (YABI The G.O.A.T) | INTRO (RISKTAPE) (Jamesy) | It's Ok (Freestyle Acoustic Experimental) (Tribal Rain) | JAM€$¥-PATRAON (Jamesy) | KADAK NEPALI (YABI The G.O.A.T) | KHOKKA (Jamesy) | Lil Rock Look Flow (LIL Rock Look, Chirag Khadka) | Lil Rock Look Flow (slowed + reverb) (LIL Rock Look, Chirag Khadka) | Mara Drill (Dj khalipha) | MENTAL (Jamesy) | NEPDRILL, Pt. 1 (Jamesy) | No Rest (Jamesy) | P2P (Jamesy) | PATRAON 2 (Jamesy) | Plug (Jamesy) | PROJECT COLLABORATION (DJ Bishow) | PROJECT COLLABORATION (DELUXE) (DJ Bishow) | RAMEY (Jamesy) | RISKTAPE (Jamesy) | ROCKY (MAHLAI BAAL) (Jamesy) | SAHAR KO BHID (Jamesy) | SANKI (Jamesy) | TAALI (Jamesy) | Topendra, Pt. 2 (Chirag Khadka) | Yeezus (Kanye West)",
aggressiveenergetic,0,0,,
ambitious,1,0,Use Your Illusion I (Guns N' Roses),
angsty,24,0,"Bleach (Deluxe Edition) (Nirvana) | Breed (Live In Amsterdam, Netherlands/1991) (Nirvana) | From The Muddy Banks Of The Wishkah (Live) (Nirvana) | In Bloom / On A Plain / Lithium / Breed (Nirvana) | In Utero (30th Anniversary Super Deluxe) (Nirvana) | In Utero (Deluxe Edition) (Nirvana) | In Utero (Super Deluxe Edition) (Nirvana) | In Utero 30th Live (Nirvana) | Incesticide (Nirvana) | Lithium / Breed (Live) (Nirvana) | Live And Loud (Nirvana) | Live at Reading (Nirvana) | Live At The Paramount (Nirvana) | MTV Unplugged In New York (Nirvana) | MTV Unplugged In New York (25th Anniversary) (Nirvana) | Nevermind (30th Anniversary Super Deluxe) (Nirvana) | Nevermind (Deluxe Edition) (Nirvana) | Nevermind (Remastered) (Nirvana) | Nevermind (Super Deluxe Edition) (Nirvana) | Nirvana (Nirvana) | On A Plain / Lithium / Breed (Live) (Nirvana) | Sliver - The Best Of The Box (Nirvana) | Smells Like Teen Spirit / In Bloom / On A Plain / Lithium / Breed (Nirvana) | With The Lights Out - Box Set (Nirvana)",
anguished,1,0,In Utero (Nirvana),
assertive,29,0,"BANDO BACHHA (Jamesy) | BHADKIYEKO AATMA (Jamesy) | CALL GARA (Jamesy) | DASHAIN DRILL (Jamesy) | Freestyle Preto (Dj Thales Jql) | GOAT THINGS (YABI The G.O.A.T) | INTRO (RISKTAPE) (Jamesy) | It's Ok (Freestyle Acoustic Experimental) (Tribal Rain) | JAM€$¥-PATRAON (Jamesy) | KADAK NEPALI (YABI The G.O.A.T) | KHOKKA (Jamesy) | Lil Rock Look Flow (LIL Rock Look, Chirag Khadka) | Lil Rock Look Flow (slowed + reverb) (LIL Rock Look, Chirag Khadka) | Mara Drill (Dj khalipha) | MENTAL (Jamesy) | NEPDRILL, Pt. 1 (Jamesy) | No Rest (Jamesy) | P2P (Jamesy) | PATRAON 2 (Jamesy) | Plug (Jamesy) | PROJECT COLLABORATION (DELUXE) (DJ Bishow) | RAMEY (Jamesy) | ROCKY (MAHLAI BAAL) (Jamesy) | SAHAR KO BHID (Jamesy) | SANKI (Jamesy) | SELFMADE (Jamesy) | SELFMADE DELUXE (Jamesy) | TAALI (Jamesy) | Topendra, Pt. 2 (Chirag Khadka)",
atmospheric,5,0,"Barulho Pra Quem Não Conhece Jql (Instrumental) (Dj Thales Jql) | Bimbaakash (Bartika Eam Rai) | Ekkasi (Alternate Version) (Yabesh Thapa) | Maya Garnu la (Flute) (John Rai, kiran Baral) | Maya Garnu La (Piano Version) (John Rai)",
bold,28,0,"All Day (Kanye West) | BULLY (Ye, Kanye West) | CARNIVAL - HOOLIGANS VERSION (¥$, Kanye West, Ty Dolla $ign) | CARNIVAL (feat. Rich The Kid, Playboi Carti) (¥$, Kanye West, Ty Dolla $ign) | CARNIVAL (INSTRUMENTAL) (¥$, Kanye West, Ty Dolla $ign) | CARNIVAL PACK (feat. Rich The Kid, Playboi Carti) (¥$, Kanye West, Ty Dolla $ign) | City of Gods (Fivio Foreign, Kanye West, Alicia Keys) | Donda (Deluxe) (Kanye West) | DONDA 2 (DONDA, Kanye West, Ye) | Eazy (The Game, Kanye West) | Hurricane (Kanye West, The Weeknd) | I Love It (Kanye West, Lil Pump) | JESUS IS KING (Kanye West) | Late Orchestration (Kanye West) | Life Of The Party (Kanye West, André 3000) | Lift Yourself (Kanye West) | Only One (Kanye West) | SLIDE (¥$, Kanye West, Ty Dolla $ign) | TALKING (¥$, Kanye West, Ty Dolla $ign) | True Love (Kanye West, XXXTENTACION) | VULTURES (¥$, Kanye West, Ty Dolla $ign) | VULTURES 1 (¥$, Kanye West, Ty Dolla $ign) | VULTURES 2 (¥$, Kanye West, Ty Dolla $ign) | VULTURES PACK (¥$, Kanye West, Ty Dolla $ign) | Wash Us In The Blood (Kanye West, Travis Scott) | Watch The Throne (Deluxe) (JAŸ-Z, Kanye West) | XTCY (Kanye West) | Ye vs. the People (starring TI as the People) (Kanye West)",
boss,0,0,,
breezy,1,0,By the Way (Red Hot Chili Peppers),
bright,1,0,Play (Ed Sheeran),
calm,8,0,"Aandhii, Ityaadi (Bartika Eam Rai) | Ana bikhayr (Jamesy) | Aparichit Bhawana (Oasis Thapa) | Auna Najeeka (Samir Shrestha) | Barahsinghe Acoustic Sessions (Albatross) | Ek Sarvanaam (Sajjan Raj Vaidya) | GhaamChhaya (Yabesh Thapa) | Najeek REMIX (LIL Rock Look, Oasis Thapa)",
catchy,0,0,,
cathartic,1,0,Happier Than Ever (Billie Eilish),
celebratory,32,0,"Amazing (feat. DJ Khaled) (Mary J. Blige, DJ Khaled) | Big Energy (feat. DJ Khaled) [Remix] (Latto, Mariah Carey, DJ Khaled) | BIG TIME (feat. Future & Lil Baby) (DJ Khaled, Future, Lil Baby) | BILLS PAID (feat. Latto & City Girls) (DJ Khaled, Latto, City Girls) | Father Of Asahd (DJ Khaled) | Graduation (Kanye West) | Grateful (DJ Khaled) | GRATEFUL (feat. Vory) (DJ Khaled, Vory) | GREECE (feat. Drake) (DJ Khaled, Drake) | I DID IT (feat. Post Malone, Megan Thee Stallion, Lil Baby & DaBaby) (DJ Khaled, Post Malone, DaBaby) | Just Us (DJ Khaled, SZA) | KEEP GOING (feat. Lil Durk, 21 Savage & Roddy Ricch) (DJ Khaled, Lil Durk, 21 Savage, Roddy Ricch) | Kiss The Ring (DJ Khaled) | Kiss The Ring (Deluxe) (DJ Khaled) | LOVE, MONEY, FAME (feat. DJ Khaled) (Kenia OS Remix) (SEVENTEEN, Kenia Os, DJ Khaled) | LOVE, MONEY, FAME (feat. DJ Khaled) (Timbaland Remix) (SEVENTEEN, DJ Khaled, Timbaland) | Major Key (DJ Khaled) | PARTY (feat. Quavo & Takeoff) (DJ Khaled, Quavo, Takeoff) | POPSTAR (feat. Drake) (DJ Khaled, Drake) | STAYING ALIVE (feat. Drake & Lil Baby) (DJ Khaled, Drake, Lil Baby) | Suffering From Success (DJ Khaled) | Suffering From Success (Deluxe Version) (DJ Khaled) | Supa Ties (feat. DJ Khaled & Raw Youngin) (AAP Deno, DJ Khaled, Raw Youngin) | THANKFUL (feat. Lil Wayne & Jeremih) (DJ Khaled, Lil Wayne, Jeremih) | THIS IS MY YEAR (feat. A Boogie Wit Da Hoodie, Big Sean, Rick Ross & Puff Daddy) (DJ Khaled, Big Sean, Rick Ross) | Victory (DJ Khaled) | WAY PAST LUCK (feat. 21 Savage) (DJ Khaled, 21 Savage) | WE GOING CRAZY (feat. H.E.R. & Migos) (DJ Khaled, H.E.R., Migos) | We The Best (DJ Khaled) | We The Best Forever (DJ Khaled) | Where They At (French Montana, Kanye West, Westside Gunn) | You Stay (feat. Lil Baby & Jeremih) (DJ Khaled, Meek Mill, J Balvin)",
