status,title,artists,album,audio_path,audio_url,file_path
"Not uploaded","!!!!!!!","Billie Eilish","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?","","",""
"Not uploaded","(New Wave) Polly - BBC Mark Goodier Session","Nirvana","Incesticide","","",""
"Not uploaded","1-10","Jamesy","SELFMADE","","",""
"Not uploaded","1000 Nights (feat. Meek Mill & A Boogie Wit da Hoodie)","Ed Sheeran, Meek Mill, A Boogie Wit da Hoodie","No.6 Collaborations Project","","",""
"Not uploaded","14 Years","Guns N' Roses","Use Your Illusion II","","",""
"Not uploaded","14 Years - 2022 Remaster","Guns N' Roses","Use Your Illusion II (Deluxe Edition)","","",""
"Not uploaded","14 Years - 2022 Remaster","Guns N' Roses","Use Your Illusion (Super Deluxe)","","",""
"Not uploaded","14 Years - Live In London - August 31, 1991","Guns N' Roses","Use Your Illusion II (Deluxe Edition)","","",""
"Not uploaded","21st Century","Red Hot Chili Peppers","Stadium Arcadium","","",""
"Not uploaded","24","Kanye West","Donda (Deluxe)","","",""
"Not uploaded","24","Kanye West","Donda","","",""
"Not uploaded","2step","Ed Sheeran","= (Tour Edition)","","",""
"Not uploaded","2step","Ed Sheeran","=","","",""
"Not uploaded","2step","Ed Sheeran","songs I wrote that almost didn't make it","","",""
"Not uploaded","2step (Star.One Remix)","Ed Sheeran, Star.One","2step (The Remixes)","","",""
"Not uploaded","2step (feat. 1.Cuz)","Ed Sheeran, 1.Cuz","2step (The Remixes)","","",""
"Not uploaded","2step (feat. Antytila)","Ed Sheeran, АНТИТІЛА","2step (The Remixes)","","",""
"Not uploaded","2step (feat. Armaan Malik)","Ed Sheeran, Armaan Malik","2step (The Remixes)","","",""
"Not uploaded","2step (feat. Armaan Malik)","Ed Sheeran, Armaan Malik","2step (feat. Armaan Malik)","","",""
"Not uploaded","2step (feat. Budjerah)","Ed Sheeran, Budjerah","2step (The Remixes)","","",""
"Not uploaded","2step (feat. Denise Chaila)","Ed Sheeran, Denise Chaila","2step (The Remixes)","","",""
"Not uploaded","2step (feat. Denise Chaila)","Ed Sheeran, Denise Chaila","2step (feat. Denise Chaila)","","",""
"Not uploaded","2step (feat. Ellinoora)","Ed Sheeran, Ellinoora","2step (The Remixes)","","",""
"Not uploaded","2step (feat. Leto)","Ed Sheeran, Leto","2step (The Remixes)","","",""
"Not uploaded","2step (feat. Lil Baby)","Ed Sheeran, Lil Baby","= (Tour Edition)","","",""
"Not uploaded","2step (feat. Lil Baby)","Ed Sheeran, Lil Baby","2step (The Remixes)","","",""
"Not uploaded","2step (feat. Lil Baby)","Ed Sheeran, Lil Baby","2step (feat. Denise Chaila)","","",""
"Not uploaded","2step (feat. Lil Baby)","Ed Sheeran, Lil Baby","2step (feat. Quevedo)","","",""
"Not uploaded","2step (feat. Lil Baby)","Ed Sheeran, Lil Baby","2step (feat. Armaan Malik)","","",""
"Not uploaded","2step (feat. Lil Baby)","Ed Sheeran, Lil Baby","2step (feat. reezy)","","",""
"Not uploaded","2step (feat. Potter Payper)","Ed Sheeran, Potter Payper","2step (The Remixes)","","",""
"Not uploaded","2step (feat. Quevedo)","Ed Sheeran, Quevedo","2step (The Remixes)","","",""
"Not uploaded","2step (feat. Quevedo)","Ed Sheeran, Quevedo","2step (feat. Quevedo)","","",""
"Not uploaded","2step (feat. Ultimo)","Ed Sheeran, Ultimo","2step (The Remixes)","","",""
"Not uploaded","2step (feat. reezy)","Ed Sheeran, reezy","2step (The Remixes)","","",""
"Not uploaded","2step (feat. reezy)","Ed Sheeran, reezy","2step (feat. reezy)","","",""
"Not uploaded","30 Hours","Kanye West","The Life Of Pablo","","",""
"Not uploaded","3AM","YABI The G.O.A.T","3AM","","",""
"Uploaded","4:44","JAŸ-Z","4:44","public/songs/JAŸ-Z/4_44/4_44.mp3","/songs/JA%C5%B8-Z/4_44/4_44.mp3","D:\vinyl-demo\public\songs\JAŸ-Z\4_44\4_44.mp3"
"Not uploaded","4th Dimension","KIDS SEE GHOSTS, Louis Prima","KIDS SEE GHOSTS","","",""
"Not uploaded","530","DONDA, Kanye West, Ye","DONDA 2","","",""
"Not uploaded","530","¥$, Kanye West, Ty Dolla $ign","VULTURES 2","","",""
"Uploaded","6 Foot 7 Foot","Lil Wayne","","public/songs/Lil Wayne/6 Foot 7 Foot.mp3","/songs/Lil%20Wayne/6%20Foot%207%20Foot.mp3","D:\vinyl-demo\public\songs\Lil Wayne\6 Foot 7 Foot.mp3"
"Uploaded","7 Years","Lukas Graham","","public/songs/Lukas Graham/7 Years.mp3","/songs/Lukas%20Graham/7%20Years.mp3","D:\vinyl-demo\public\songs\Lukas Graham\7 Years.mp3"
"Not uploaded","7969 Santa","Drake","For All The Dogs","","",""
"Not uploaded","8","Billie Eilish","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?","","",""
"Not uploaded","9841","Sajjan Raj Vaidya","9841","","",""
"Not uploaded","A Beautiful Game","Ed Sheeran","A Beautiful Game","","",""
"Not uploaded","A Certain Someone","Red Hot Chili Peppers","Tell Me Baby","","",""
"Not uploaded","A Little More","Ed Sheeran","Play (Extended Edition)","","",""
"Not uploaded","A Little More","Ed Sheeran","Play","","",""
"Not uploaded","A Little More","Ed Sheeran","A Little More","","",""
"Not uploaded","A Little More","Ed Sheeran","Play (Deluxe)","","",""
"Not uploaded","A Little More - Unplugged","Ed Sheeran","A Little More (Unplugged)","","",""
"Not uploaded","A Teenager in Love - 2012 Remaster","Red Hot Chili Peppers","Rock & Roll Hall of Fame Covers - EP","","",""
"Not uploaded","A love letter to Darjeeling","Purna Rai","A love letter to Darjeeling","","",""
